Category,Group,Edition
"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",Physics,SCIE
"PHYSICS, ATOMIC, MOLECULAR & CHEMICAL",Physics,ESCI
"PHYSICS, CONDENSED MATTER",Materials Science;Physics,SCIE
"PHYSICS, CONDENSED MATTER",Materials Science;Physics,ESCI
"PHYSICS, FLUIDS & PLASMAS",Physics,SCIE
"PHYSICS, FLUIDS & PLASMAS",Physics,ESCI
"PHYSICS, MATHEMATICAL",Mathematics;Physics,SCIE
"PHYSICS, MATHEMATICAL",Mathematics;Physics,ESCI
"PHYSICS, MULTIDISCIPLINARY",Multidisciplinary;Physics,SCIE
"PHYSICS, MULTIDISCIPLINARY",Multidisciplinary;Physics,ESCI
"PHYSICS, NUCLEAR",Physics,SCIE
"PHYSICS, NUCLEAR",Physics,ESCI
"PHYSICS, PARTICLES & FIELDS",Physics,SCIE
"PHYSICS, PARTICLES & FIELDS",Physics,ESCI
PHYSIOLOGY,Biology & Biochemistry,SCIE
PHYSIOLOGY,Biology & Biochemistry,ESCI
PLANT SCIENCES,Plant & Animal Science,SCIE
PLANT SCIENCES,Plant & Animal Science,ESCI
POETRY,Literature & Language,AHCI
POETRY,Literature & Language,ESCI
POLITICAL SCIENCE,"Social Sciences, General",SSCI
POLITICAL SCIENCE,"Social Sciences, General",ESCI
POLYMER SCIENCE,Chemistry;Materials Science,SCIE
POLYMER SCIENCE,Chemistry;Materials Science,ESCI
PRIMARY HEALTH CARE,Clinical Medicine,SCIE
PRIMARY HEALTH CARE,Clinical Medicine,ESCI
PSYCHIATRY,Clinical Medicine;Psychiatry/Psychology,SCIE
PSYCHIATRY,Clinical Medicine;Psychiatry/Psychology,SSCI
PSYCHIATRY,Clinical Medicine;Psychiatry/Psychology,ESCI
PSYCHOLOGY,Psychiatry/Psychology,SCIE
PSYCHOLOGY,Psychiatry/Psychology,ESCI
"PSYCHOLOGY, APPLIED",Psychiatry/Psychology,SSCI
"PSYCHOLOGY, APPLIED",Psychiatry/Psychology,ESCI
"PSYCHOLOGY, BIOLOGICAL",Biology & Biochemistry;Psychiatry/Psychology,SSCI
"PSYCHOLOGY, BIOLOGICAL",Biology & Biochemistry;Psychiatry/Psychology,ESCI
"PSYCHOLOGY, CLINICAL",Clinical Medicine;Psychiatry/Psychology,SSCI
"PSYCHOLOGY, CLINICAL",Clinical Medicine;Psychiatry/Psychology,ESCI
"PSYCHOLOGY, DEVELOPMENTAL",Psychiatry/Psychology,SSCI
"PSYCHOLOGY, DEVELOPMENTAL",Psychiatry/Psychology,ESCI
"PSYCHOLOGY, EDUCATIONAL",Psychiatry/Psychology,SSCI
"PSYCHOLOGY, EDUCATIONAL",Psychiatry/Psychology,ESCI
"PSYCHOLOGY, EXPERIMENTAL",Psychiatry/Psychology,SSCI
"PSYCHOLOGY, EXPERIMENTAL",Psychiatry/Psychology,ESCI
"PSYCHOLOGY, MATHEMATICAL",Mathematics;Psychiatry/Psychology,SSCI
"PSYCHOLOGY, MULTIDISCIPLINARY",Multidisciplinary;Psychiatry/Psychology,SSCI
"PSYCHOLOGY, MULTIDISCIPLINARY",Multidisciplinary;Psychiatry/Psychology,ESCI
"PSYCHOLOGY, PSYCHOANALYSIS",Psychiatry/Psychology,SSCI
"PSYCHOLOGY, PSYCHOANALYSIS",Psychiatry/Psychology,ESCI
"PSYCHOLOGY, SOCIAL",Psychiatry/Psychology,SSCI
"PSYCHOLOGY, SOCIAL",Psychiatry/Psychology,ESCI
PUBLIC ADMINISTRATION,"Economics & Business;Social Sciences, General",SSCI
PUBLIC ADMINISTRATION,"Economics & Business;Social Sciences, General",ESCI
"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Clinical Medicine;Environment/Ecology,SCIE
"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Clinical Medicine;Environment/Ecology,SSCI
"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",Clinical Medicine;Environment/Ecology,ESCI
QUANTUM SCIENCE & TECHNOLOGY,Engineering;Physics,SCIE
QUANTUM SCIENCE & TECHNOLOGY,Engineering;Physics,ESCI
"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",Clinical Medicine;Computer Science;Physics,SCIE
"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",Clinical Medicine;Computer Science;Physics,ESCI
REGIONAL & URBAN PLANNING,"Engineering;Social Sciences, General;Visual & Performing Arts",SSCI
REGIONAL & URBAN PLANNING,"Engineering;Social Sciences, General;Visual & Performing Arts",ESCI
REHABILITATION,Clinical Medicine,SSCI
REHABILITATION,Clinical Medicine,SCIE
REHABILITATION,Clinical Medicine,ESCI
RELIGION,Philosophy & Religion,ESCI
RELIGION,Philosophy & Religion,AHCI
REMOTE SENSING,Engineering;Environment/Ecology;Geosciences,SCIE
REMOTE SENSING,Engineering;Environment/Ecology;Geosciences,ESCI
REPRODUCTIVE BIOLOGY,Biology & Biochemistry;Clinical Medicine;Plant & Animal Science,SCIE
REPRODUCTIVE BIOLOGY,Biology & Biochemistry;Clinical Medicine;Plant & Animal Science,ESCI
RESPIRATORY SYSTEM,Clinical Medicine,SCIE
RESPIRATORY SYSTEM,Clinical Medicine,ESCI
RHEUMATOLOGY,Clinical Medicine,SCIE
RHEUMATOLOGY,Clinical Medicine,ESCI
ROBOTICS,Computer Science;Engineering,SCIE
ROBOTICS,Computer Science;Engineering,ESCI
SOCIAL ISSUES,"Multidisciplinary;Social Sciences, General",SSCI
SOCIAL ISSUES,"Multidisciplinary;Social Sciences, General",ESCI
"SOCIAL SCIENCES, BIOMEDICAL","Multidisciplinary;Social Sciences, General",SSCI
"SOCIAL SCIENCES, BIOMEDICAL","Multidisciplinary;Social Sciences, General",ESCI
"SOCIAL SCIENCES, INTERDISCIPLINARY","Multidisciplinary;Social Sciences, General",ESCI
"SOCIAL SCIENCES, INTERDISCIPLINARY","Multidisciplinary;Social Sciences, General",SSCI
"SOCIAL SCIENCES, MATHEMATICAL METHODS","Mathematics;Multidisciplinary;Social Sciences, General",SSCI
"SOCIAL SCIENCES, MATHEMATICAL METHODS","Mathematics;Multidisciplinary;Social Sciences, General",ESCI
SOCIAL WORK,"Social Sciences, General",ESCI
SOCIAL WORK,"Social Sciences, General",SSCI
SOCIOLOGY,"Social Sciences, General",SSCI
SOCIOLOGY,"Social Sciences, General",ESCI
SOIL SCIENCE,Agricultural Sciences;Geosciences,SCIE
SOIL SCIENCE,Agricultural Sciences;Geosciences,ESCI
SPECTROSCOPY,Chemistry;Engineering;Physics,SCIE
SPECTROSCOPY,Chemistry;Engineering;Physics,ESCI
SPORT SCIENCES,"Clinical Medicine;Social Sciences, General",SCIE
SPORT SCIENCES,"Clinical Medicine;Social Sciences, General",ESCI
STATISTICS & PROBABILITY,Mathematics,SCIE
STATISTICS & PROBABILITY,Mathematics,ESCI
SUBSTANCE ABUSE,"Clinical Medicine;Psychiatry/Psychology;Social Sciences, General",SSCI
SUBSTANCE ABUSE,"Clinical Medicine;Psychiatry/Psychology;Social Sciences, General",SCIE
SUBSTANCE ABUSE,"Clinical Medicine;Psychiatry/Psychology;Social Sciences, General",ESCI
SURGERY,Clinical Medicine,SCIE
SURGERY,Clinical Medicine,ESCI
TELECOMMUNICATIONS,Engineering,SCIE
TELECOMMUNICATIONS,Engineering,ESCI
THEATER,Literature & Language;Visual & Performing Arts,AHCI
THEATER,Literature & Language;Visual & Performing Arts,ESCI
THERMODYNAMICS,Engineering;Physics,SCIE
THERMODYNAMICS,Engineering;Physics,ESCI
TOXICOLOGY,Biology & Biochemistry;Clinical Medicine;Plant & Animal Science,SCIE
TOXICOLOGY,Biology & Biochemistry;Clinical Medicine;Plant & Animal Science,ESCI
TRANSPLANTATION,Clinical Medicine,SCIE
TRANSPLANTATION,Clinical Medicine,ESCI
TRANSPORTATION,"Economics & Business;Social Sciences, General",SSCI
TRANSPORTATION,"Economics & Business;Social Sciences, General",ESCI
TRANSPORTATION SCIENCE & TECHNOLOGY,Engineering,SCIE
TRANSPORTATION SCIENCE & TECHNOLOGY,Engineering,ESCI
TROPICAL MEDICINE,Clinical Medicine,SCIE
TROPICAL MEDICINE,Clinical Medicine,ESCI
URBAN STUDIES,"Economics & Business;Social Sciences, General;Visual & Performing Arts",SSCI
URBAN STUDIES,"Economics & Business;Social Sciences, General;Visual & Performing Arts",ESCI
UROLOGY & NEPHROLOGY,Clinical Medicine,SCIE
UROLOGY & NEPHROLOGY,Clinical Medicine,ESCI
VETERINARY SCIENCES,Plant & Animal Science,SCIE
VETERINARY SCIENCES,Plant & Animal Science,ESCI
VIROLOGY,Biology & Biochemistry;Clinical Medicine,SCIE
VIROLOGY,Biology & Biochemistry;Clinical Medicine,ESCI
WATER RESOURCES,Engineering;Environment/Ecology;Geosciences,SCIE
WATER RESOURCES,Engineering;Environment/Ecology;Geosciences,ESCI
WOMENS STUDIES,"Social Sciences, General",SSCI
WOMENS STUDIES,"Social Sciences, General",ESCI
ZOOLOGY,Biology & Biochemistry;Environment/Ecology;Plant & Animal Science,SCIE
ZOOLOGY,Biology & Biochemistry;Environment/Ecology;Plant & Animal Science,ESCI
